europe,nuclear,sustainability, policy
entertainment,television,awards,hosting
oil,business,rosneft,bp
politics,nevada,resign,appoint
agriculture,industrialization,sustainable,environment
obama,diplomacy,mideast,conflict
reforms,protests,austerity,europe
sports,career,series,record
terrorism,radicalization,extremism,germany
restructure,cisco,market,engineering
miniseries,family,relationships,story
pharmaceutical,veterinary,market,products
entertainment,television,series,career
terrorism,religion,protest,ideology
politics,journalism,advocacy,freedom
sports,playoffs,nba,analysis
health,funds,america,services
gaming,media,microsoft,conference
cannes,film,imprisonment,recognition
adoption,promoting,rights,certificates
film,entertainment,family,adaptation
theatre,review,story,police
gaming,fantasy,sequel,success
sports,arrest,marijuana,court
unemployment,market,technology,economy
bombarded,port,internation,conflict
leeks,health,cooking,recipes
market,employment,economy,america
lawsuit,misleading,advertisment,products
media,twitter,abusement,fired
sports,tournament,performance,victory
festival,anarchists,celebration,threats
game,season,streak,assists
race,university,competition,boat
terrorism,justice,europe,torture
diet,america,nutrition,weight
restructuring,industry,competition,planning
government,syria,protests,activists
qatar,politics,crisis,peace
arizona,government,gun,safety
sales,competition,membership,business
student,sponsor,career,loans
tornado,survival,family,damage
sports,imprisonment,accident,weapon
clay,performance,success,competition
politics,elections,singapore,democracy
league,summit,delay,security
security,law,stadium,sports
business,politics,deal,legacy
film,cast,reunion,animation
